frame,time_s,left_hip_pitch_joint,right_hip_pitch_joint,waist_yaw_joint,left_hip_roll_joint,right_hip_roll_joint,waist_roll_joint,left_hip_yaw_joint,right_hip_yaw_joint,waist_pitch_joint,left_knee_joint,right_knee_joint,left_shoulder_pitch_joint,right_shoulder_pitch_joint,left_ankle_pitch_joint,right_ankle_pitch_joint,left_shoulder_roll_joint,right_shoulder_roll_joint,left_ankle_roll_joint,right_ankle_roll_joint,left_shoulder_yaw_joint,right_shoulder_yaw_joint,left_elbow_joint,right_elbow_joint,left_wrist_roll_joint,right_wrist_roll_joint,left_wrist_pitch_joint,right_wrist_pitch_joint,left_wrist_yaw_joint,right_wrist_yaw_joint
68,0.360000,-4.325726,7.359543,-3.102489,1.359412,-19.837961,-5.560651,-0.552001,13.987748,-3.776671,-4.843217,-14.524094,-4.798656,-1.417703,-0.130468,-10.717409,-1.655895,-1.501397,-0.119576,-2.803537,-0.485271,-0.314802,-2.867633,-1.537544,-0.066385,0.002288,-0.738874,-0.468105,0.013622,-0.170129
69,0.380000,1.352681,2.330474,-4.893345,0.842996,-19.684164,-6.082724,-0.432246,13.118757,-4.564054,-0.943233,-14.806030,-5.696133,-1.660261,0.063644,-9.786654,-0.669201,-1.965780,-0.062774,-3.925064,-0.393580,-0.469016,-3.180838,-1.611046,-0.050664,0.042504,-0.954359,-0.500618,0.046316,-0.057997
70,0.400000,4.791120,-0.573070,-6.614114,-1.017722,-20.839983,-6.088922,0.587348,13.885602,-4.869752,2.447398,-16.824125,-6.772038,-0.745340,0.244393,-9.020332,0.674483,-1.877603,-0.071755,-4.730331,-0.101054,-0.496957,-3.244495,-1.103209,-0.019038,-0.038983,-0.930226,-0.277629,0.075936,-0.094506
71,0.420000,5.325744,-1.928709,-7.493241,-2.010038,-21.331226,-5.915417,1.337342,13.728890,-4.301761,3.270890,-18.171295,-7.815091,0.701757,0.224992,-8.658616,1.603937,-1.290395,-0.092210,-4.954815,0.258960,-0.235529,-3.460274,-0.438143,-0.002694,-0.089254,-0.929092,-0.069939,0.184152,-0.091828
72,0.440000,5.706411,-3.854502,-7.194802,-1.579247,-20.849743,-5.662752,0.931600,12.767628,-3.047907,3.784333,-18.847921,-7.553901,1.380483,0.068048,-7.896086,2.214996,-0.468909,-0.059565,-5.212432,0.454108,0.068793,-3.469369,-0.015758,-0.037154,-0.062291,-0.892722,0.043970,0.227593,0.004092
73,0.460000,6.434540,-6.656015,-7.893801,-1.335536,-19.487391,-5.865980,0.854670,12.155969,-1.416399,4.200311,-19.421677,-6.674849,1.559832,-0.069008,-6.245962,2.228216,-0.287951,-0.027515,-5.746718,0.415503,0.038471,-3.139900,0.014330,-0.060087,0.001170,-0.739267,0.036596,0.142682,0.038866
74,0.480000,5.807274,-7.887999,-8.043218,-1.457557,-18.177605,-6.313553,0.873136,11.725043,0.217166,3.843390,-19.582468,-5.642347,2.293617,-0.151723,-4.711663,1.968079,-0.675781,-0.016244,-6.425020,0.329945,-0.107356,-2.638117,0.153061,-0.074643,0.013903,-0.617027,0.052130,0.100705,0.023284
75,0.500000,4.125999,-8.064659,-7.759998,-1.289516,-17.545383,-7.130641,0.710449,12.049989,1.982409,3.531593,-20.005901,-4.354684,3.015510,-0.162483,-3.416744,1.721658,-1.081430,-0.014464,-7.444478,0.231521,-0.187428,-2.079674,0.321308,-0.062161,0.008795,-0.548550,0.075420,0.077788,0.011450
76,0.520000,1.855637,-7.615895,-7.312689,-1.035675,-17.843620,-7.761571,0.643696,12.608386,3.648628,3.434705,-20.301895,-3.283683,3.234244,-0.169864,-2.553463,1.598238,-1.142983,-0.012204,-8.561608,0.137638,-0.154548,-1.663283,0.370955,-0.036758,-0.012002,-0.484383,0.074588,0.048023,0.012937
77,0.540000,-0.977827,-5.986667,-6.228271,-1.126169,-18.243950,-7.965497,0.671083,12.979300,4.815724,3.174782,-19.967215,-2.275153,3.010801,-0.215704,-2.200473,1.707190,-1.013649,-0.006904,-8.930564,0.183047,-0.082442,-1.358493,0.323202,-0.028945,-0.027424,-0.421189,0.080903,0.031976,0.002712
78,0.560000,-3.965175,-3.891725,-3.795487,-2.121036,-18.009581,-7.791340,1.190917,11.720215,5.565906,2.767654,-19.231674,-0.816744,1.783766,-0.273590,-2.329241,1.755350,-0.839100,-0.000318,-8.531053,0.257488,-0.030970,-0.903495,-0.003863,-0.015011,-0.023244,-0.309534,0.007280,0.045786,-0.034301
79,0.580000,-5.962740,-2.765866,-1.143669,-3.074515,-17.424364,-7.780664,1.571863,9.953779,6.193364,2.657263,-18.962006,1.051719,0.276221,-0.337509,-2.621172,1.687930,-1.167876,0.005713,-7.861800,0.225736,-0.154347,-0.325177,-0.521272,0.006056,-0.029253,-0.132144,-0.115841,0.030032,-0.067706
80,0.600000,-6.966449,-2.891158,1.013247,-3.413152,-17.713564,-8.108235,1.734812,8.299180,6.916338,2.856144,-19.266693,2.634407,-0.914770,-0.410104,-2.234509,1.575739,-1.707309,0.006599,-7.037671,0.153609,-0.356144,0.255682,-0.984407,-0.007137,-0.040447,0.061109,-0.182817,-0.035171,-0.087348
81,0.620000,-6.752932,-3.947422,2.493880,-2.577431,-20.655312,-8.326734,1.274167,6.973885,7.365361,3.385100,-19.100670,3.462808,-1.670572,-0.469521,0.369461,1.596051,-2.203714,0.016819,-6.089188,0.155251,-0.504464,0.570452,-1.355193,-0.026529,-0.030049,0.176151,-0.236700,-0.073004,-0.086757
82,0.640000,-4.323749,-5.875408,2.450097,0.561141,-25.425816,-7.754200,-0.217234,6.647905,6.822736,4.593312,-17.496557,3.188815,-1.732457,-0.435255,4.777171,1.934358,-2.317640,0.026861,-4.641954,0.247052,-0.529385,0.491490,-1.434313,-0.027344,-0.041709,0.151741,-0.277134,-0.035389,-0.083701
83,0.660000,0.316216,-7.569309,1.359558,3.401033,-27.474190,-6.061283,-1.092150,5.636587,4.838972,6.343106,-13.722900,2.216609,-0.695116,-0.253035,8.429168,2.045436,-2.076323,0.002626,-2.453431,0.321738,-0.526873,0.279493,-0.819466,-0.020403,-0.055693,0.064502,-0.161088,0.028225,-0.101035
84,0.680000,4.566667,-8.872179,-4.186114,11.948711,-19.179823,0.162114,-6.037267,1.539235,2.412920,-11.394674,-2.470079,0.017285,2.535506,-6.877587,11.989185,1.601156,-2.681442,-2.140237,1.285809,0.282471,-0.784242,-0.381964,0.477823,0.064993,-0.023945,-0.029116,0.085139,0.078461,-0.165990
85,0.700000,12.410518,-10.943239,-5.385467,22.633493,-4.762382,10.774697,-14.877961,-0.164099,1.164059,-28.244915,4.309958,0.875196,5.448983,-11.027496,14.286987,1.698838,-3.527075,-1.405687,3.269012,0.446253,-0.710206,-0.980862,0.907146,0.084090,0.089819,-0.242315,0.007206,0.224181,-0.265324
86,0.720000,15.765095,-14.030002,-2.458002,22.127007,-2.170549,12.128757,-19.166073,0.028656,1.555922,-19.419369,0.334820,3.573594,5.148533,-7.205339,8.198283,2.508224,-2.781951,-0.534970,1.874454,0.660226,-0.396663,-0.164388,1.005182,0.133220,0.188212,-0.165617,0.129520,0.246970,-0.165109
87,0.740000,13.681367,-14.242618,1.768621,20.419743,-1.724044,12.308388,-19.233309,0.479148,2.761161,-13.175169,-4.387506,4.113002,2.614720,-1.516877,-0.515637,1.242403,-1.300735,-0.723268,-0.225062,0.359090,-0.125435,0.620382,0.554680,0.161128,0.229270,0.217096,0.198389,0.041219,0.152579
88,0.760000,12.605400,-15.120131,4.197980,20.227125,-1.350992,12.550014,-20.283451,0.354780,3.918489,-12.421947,-5.552992,4.866248,1.073101,1.593392,-0.645483,0.059864,0.034656,0.481551,-0.187951,0.172699,0.161350,0.890017,0.104344,0.004337,0.052709,0.267480,0.158643,-0.070132,0.240416
89,0.780000,10.906713,-15.717489,3.210360,20.388948,-2.783452,10.698293,-17.195601,1.371720,4.767690,-10.719939,-7.483329,4.385441,-0.249309,2.783056,-0.516045,0.329835,0.160016,0.169306,-0.072189,0.216906,0.250320,0.674082,-0.479168,-0.073829,-0.146654,0.169022,-0.063573,-0.029375,0.090761
90,0.800000,8.716413,-14.521585,2.899252,19.355875,-1.371354,9.018770,-15.359389,0.754902,4.598759,-10.942112,-6.536852,2.823522,-1.082799,3.760782,-0.472249,1.092257,-0.525749,1.003642,0.026993,0.265759,0.062287,0.070067,-0.806033,-0.100925,-0.196812,0.031762,-0.119706,0.005150,-0.047626
91,0.820000,6.870531,-11.837523,2.904639,18.856369,0.732311,8.147607,-15.124370,-0.325359,3.311617,-12.277477,-3.368843,1.619388,-1.577136,2.881103,-0.334081,1.205056,-1.328733,2.566847,0.043466,0.221613,-0.141096,-0.303216,-0.950792,-0.060694,-0.069918,-0.033167,-0.228513,0.073031,-0.118613
92,0.840000,2.632230,-7.380111,2.208799,19.729052,1.459671,7.041802,-12.881498,-0.719144,2.690481,-13.475572,-0.255669,0.612299,-1.734525,2.061110,-0.198595,0.985120,-2.112644,3.691571,0.035064,0.185394,-0.373449,-0.455181,-1.117773,-0.017051,0.006190,-0.063632,-0.333383,0.082796,-0.135919
93,0.860000,-3.223635,-2.333874,2.374507,20.141727,1.486202,5.721635,-10.219322,-0.830336,2.908320,-14.939550,1.672949,-0.320826,-2.146013,1.883957,-0.145202,0.636495,-2.594413,4.159239,0.003051,0.094269,-0.545600,-0.691381,-1.314002,0.000561,0.010820,-0.129915,-0.345728,0.027671,-0.117379
94,0.880000,-8.341352,1.011714,2.765945,20.234619,1.589754,5.042957,-9.032917,-0.802516,3.498696,-17.709887,2.597411,-1.455657,-2.824593,1.547680,-0.137511,0.210104,-2.976819,4.510176,-0.043926,-0.015656,-0.642954,-1.151742,-1.573731,-0.016344,-0.016704,-0.272185,-0.387278,-0.004258,-0.123889
95,0.900000,-12.482062,3.248741,2.404336,21.423475,1.449952,4.743833,-7.618920,-0.667830,4.136979,-19.868999,3.388616,-2.520959,-3.469591,2.439454,-0.126684,-0.117311,-3.326128,4.759616,-0.087371,-0.106265,-0.702578,-1.636627,-1.898162,-0.024196,-0.020068,-0.428892,-0.514738,-0.008414,-0.138999
96,0.920000,-16.583126,5.574952,1.885811,22.899385,2.075586,4.326163,-6.003490,-1.018378,4.876364,-21.207632,4.592784,-3.305927,-3.544308,5.005840,-0.096782,-0.124610,-3.767488,5.150865,-0.097654,-0.127104,-0.801791,-1.999604,-2.078856,-0.006406,-0.006142,-0.544214,-0.573105,-0.000404,-0.150893
97,0.940000,-20.592352,8.426799,1.809969,23.696354,3.127918,3.594491,-4.390856,-1.577031,5.644094,-20.965315,6.127066,-3.323155,-2.925369,8.680879,-0.055035,0.190184,-4.208204,5.581886,-0.071449,-0.059640,-0.913928,-2.037585,-1.925657,0.000915,0.017621,-0.532492,-0.479594,-0.003279,-0.139529
98,0.960000,-22.921402,10.936067,2.495343,23.891888,3.002112,2.809923,-3.307512,-1.421124,5.973134,-18.228052,7.431569,-2.183377,-2.055631,12.404660,0.003926,0.733297,-4.311754,5.551935,-0.044644,0.057802,-0.952226,-1.627571,-1.551049,-0.014300,0.053390,-0.403744,-0.327236,-0.016722,-0.130696
99,0.980000,-23.995070,12.040618,3.264130,23.269903,2.628913,2.326196,-2.591922,-1.179910,6.653898,-15.079235,7.861188,-0.443159,-1.283098,15.161128,0.053002,1.077700,-4.014069,4.872713,-0.026348,0.152447,-0.878789,-0.937266,-1.142814,-0.007266,0.055134,-0.226571,-0.212327,0.001131,-0.126408
100,1.000000,-23.699902,11.060863,3.845739,21.674446,2.620459,2.280197,-2.513084,-1.069903,7.914901,-12.529034,7.093183,1.400195,-0.550976,16.331154,0.010548,1.039396,-3.425803,3.481994,0.006178,0.174340,-0.721650,-0.100822,-0.727551,0.005368,0.029923,-0.006210,-0.104202,0.018533,-0.118417
101,1.020000,-21.124239,7.675977,3.279836,20.794260,2.500722,2.583187,-2.611081,-0.925252,9.299820,-10.029681,5.896590,2.699348,0.803431,16.444962,-0.052609,0.791940,-2.683881,1.743388,0.061047,0.151978,-0.559822,0.602234,-0.135232,-0.000468,0.011374,0.194307,0.029271,0.011671,-0.098646
102,1.040000,-15.717237,2.683407,2.113393,20.535395,2.046193,3.136650,-2.775304,-0.785138,10.034929,-6.217573,4.809256,3.687009,2.714484,16.373852,-0.050416,0.549293,-1.790071,-0.313300,0.114787,0.137027,-0.332203,1.160454,0.674240,-0.026292,0.022565,0.336444,0.196971,-0.005879,-0.034876
103,1.060000,-8.444604,-1.860503,1.757604,19.757961,0.376341,4.172785,-3.151716,-0.045842,9.355339,-0.894752,3.376364,5.417688,4.343461,17.289490,-0.057126,0.603494,-0.674782,-2.930414,0.139338,0.152749,-0.023632,1.931404,1.342010,-0.024038,0.031767,0.515206,0.375638,-0.054770,0.073036
104,1.080000,-1.540620,-2.607469,2.897447,14.237031,-9.225679,-0.136256,-3.253077,1.227888,6.771834,4.685308,-11.195333,7.011269,4.389650,21.103121,-11.447543,1.588694,0.642408,-5.171463,6.596808,0.247030,0.318877,2.219648,1.169047,-0.012164,0.024086,0.660496,0.333209,-0.057385,0.187369
105,1.100000,-3.695509,5.328489,5.689329,3.389060,-21.471098,-2.011256,0.425588,11.214108,3.011574,8.709173,-25.091969,8.699575,2.866881,24.340178,-19.063334,3.335448,0.970917,-5.111776,-0.196818,0.607363,0.336695,2.179361,-0.030610,0.012479,0.002187,0.605142,-0.031154,0.112233,0.258386
106,1.120000,-2.832902,7.232698,3.020927,4.115251,-27.814850,-3.553500,-0.380343,16.121233,-0.092204,2.618279,-26.982857,6.136035,3.542023,17.921341,-13.380109,4.536766,-1.041511,-3.568180,-3.110814,1.079271,-0.249327,1.120527,-0.438044,0.075402,-0.055027,0.325511,-0.223743,0.203932,-0.044490
107,1.140000,0.277615,5.750850,2.024675,6.876332,-29.417376,-2.736483,-0.470987,17.949772,-2.156065,1.888744,-23.901316,3.264955,3.617386,7.794831,-14.626187,4.907743,-2.302340,-0.933002,-4.250385,1.453957,-0.501975,0.266001,0.110073,-0.012970,-0.038454,0.027130,-0.142190,0.208873,-0.294119
108,1.160000,-2.240362,4.589715,0.419123,7.358333,-30.740501,-2.670247,-2.642709,19.651928,-0.141148,-2.794329,-19.765062,0.901591,2.541622,-0.757189,-12.578518,3.711410,-1.447428,0.275811,-5.532043,1.044879,-0.230947,-0.290826,0.627056,0.068321,-0.079652,-0.115480,0.129759,0.077205,-0.137625
109,1.180000,-3.060459,4.545073,-1.035462,5.558325,-29.350477,-2.672979,-2.810999,17.994644,0.176156,-4.007366,-16.207743,-0.638763,1.565665,-0.326407,-8.559999,2.372679,-1.072307,0.100495,-5.913302,0.647703,-0.261390,-0.660665,0.354229,0.185649,0.037436,-0.117839,0.074362,-0.002848,-0.002475
110,1.200000,-7.497846,8.906325,-1.772392,1.909039,-24.309902,-4.148543,-1.103568,15.310645,-0.586130,-6.108365,-11.867287,-1.687607,0.284763,-0.235321,-3.393301,0.864178,-1.020501,0.001714,-6.601233,0.259553,-0.352757,-1.181403,-0.392840,0.129632,0.130829,-0.193800,-0.121822,0.043582,0.003273
111,1.220000,-8.533039,10.855790,-2.677010,-1.106696,-20.281261,-5.161769,0.668657,13.036435,-1.659898,-5.647308,-8.658089,-2.361417,-0.167664,-0.241577,0.958977,0.183728,-1.144760,-0.080154,-7.071987,-0.142980,-0.364310,-1.579844,-0.934093,0.006796,0.108088,-0.369671,-0.297997,0.049785,-0.003605
112,1.240000,-5.747070,9.530281,-3.601674,-1.668957,-19.368126,-5.524985,0.911610,12.760221,-2.882524,-2.543138,-7.355264,-2.883022,-0.118114,-0.082483,3.527365,0.629300,-1.131917,-0.113931,-7.485873,-0.160424,-0.283610,-1.731145,-1.010907,-0.059385,0.045790,-0.482078,-0.323711,0.057288,-0.000265
113,1.260000,-2.564213,8.293309,-3.799846,-1.670348,-19.258251,-6.090992,0.699878,11.618464,-4.404796,0.323260,-6.110176,-4.030859,0.413126,0.017214,4.392295,1.074881,-0.753856,-0.097473,-7.425867,0.043613,-0.037348,-2.060001,-0.744704,-0.044406,-0.038540,-0.640568,-0.208251,0.086801,-0.051787
114,1.280000,-0.121495,5.795252,-4.372062,-1.723935,-20.080130,-6.165349,0.863657,11.390792,-4.661054,2.491219,-7.536987,-4.988382,0.681398,0.040968,4.080511,1.194531,-0.403251,-0.081711,-7.721008,0.154041,0.094036,-2.451999,-0.521565,-0.032212,-0.051260,-0.678969,-0.111967,0.101481,-0.077115
115,1.300000,2.021880,1.845383,-4.854536,-1.486189,-20.407644,-5.850516,0.901636,10.793750,-3.623810,3.455691,-10.384443,-5.168648,0.745710,-0.014022,2.852263,1.237703,-0.214795,-0.065230,-8.095245,0.219377,0.080517,-2.613013,-0.401008,-0.037414,-0.035467,-0.656175,-0.057624,0.101628,-0.092620
116,1.320000,3.108137,-1.766764,-4.937830,-1.324546,-20.130112,-5.857955,0.656030,10.366158,-1.807474,3.630865,-13.464697,-4.520870,0.981842,-0.106770,1.587220,1.393679,-0.351180,-0.050557,-8.403740,0.312598,-0.045249,-2.377972,-0.344918,-0.049025,0.004330,-0.583827,-0.044085,0.106354,-0.080770
117,1.340000,2.459093,-4.110172,-4.706527,-1.741186,-19.600971,-6.402021,0.799399,10.071116,0.781744,3.264517,-16.003855,-3.134047,1.656624,-0.188308,1.391872,1.558805,-0.703419,-0.050024,-8.662522,0.337475,-0.178299,-1.784110,-0.171966,-0.049083,0.010263,-0.435762,0.000098,0.082046,-0.080442
118,1.360000,1.379503,-5.515093,-4.241146,-2.251325,-19.156427,-7.013702,1.139743,9.453492,3.092264,3.034492,-17.268635,-1.762126,2.244996,-0.234711,2.077786,1.680615,-1.123106,-0.048798,-8.829267,0.262044,-0.228529,-1.166729,-0.012734,-0.034388,-0.017766,-0.306884,0.011683,0.054565,-0.059582
119,1.380000,0.667683,-6.606858,-3.257267,-2.805360,-19.152653,-7.510761,1.462923,8.419754,4.642655,3.268804,-18.066496,-0.590604,2.161492,-0.243564,3.583937,1.835614,-1.390117,-0.045017,-8.758485,0.225526,-0.240671,-0.688256,-0.042671,-0.028548,-0.018239,-0.200374,-0.004636,0.056072,-0.031486
120,1.400000,0.677187,-8.067776,-1.341949,-3.266990,-20.021408,-7.699259,1.662302,6.266094,5.613705,3.713068,-18.685944,0.602742,1.256058,-0.245362,5.915359,2.011768,-1.616150,-0.038603,-8.484930,0.257527,-0.291036,-0.316997,-0.296909,-0.025510,-0.006826,-0.091802,-0.036384,0.058333,-0.019082
121,1.420000,1.418637,-9.654209,0.045214,-2.973574,-21.260458,-7.346351,1.460610,4.486083,6.020407,4.351477,-18.503695,1.605778,0.376709,-0.259325,8.431107,2.162818,-1.926767,-0.026944,-8.010187,0.283726,-0.399929,0.000744,-0.572877,-0.005632,-0.042770,0.013010,-0.084918,0.054675,-0.040110
122,1.440000,2.815525,-11.240151,0.065220,-1.327297,-23.235277,-6.400351,0.663865,3.749190,5.800355,5.065396,-17.396374,1.623835,-0.055083,-0.283968,10.771404,2.533583,-1.935127,-0.015828,-6.796484,0.416579,-0.413917,0.044628,-0.792197,0.014683,-0.085943,0.040111,-0.146988,0.053285,-0.062108
123,1.460000,4.027227,-11.449309,-0.266244,0.180339,-25.568707,-5.214972,-0.007872,4.104762,5.002486,6.375299,-15.343169,1.377436,0.192338,-0.253872,13.101977,2.765988,-1.819851,-0.024167,-5.545632,0.481280,-0.414374,-0.031537,-0.666359,0.037278,-0.084555,-0.012352,-0.173551,0.029855,-0.040344
124,1.480000,4.664322,-10.275142,-1.181616,1.781675,-25.684740,-3.995590,-0.666950,4.336966,3.863068,6.333214,-11.580314,1.028224,1.299073,-0.201544,15.612115,2.673582,-1.647062,-0.033927,-3.461749,0.506756,-0.407318,-0.175744,-0.173792,0.054192,-0.072560,-0.066005,-0.081498,0.022413,-0.052724
125,1.500000,5.768887,-6.754102,-3.206390,9.121799,-18.194080,1.023787,-4.788946,2.959985,2.061623,-12.414820,-1.438798,0.315260,3.901396,-11.648268,18.751106,2.067180,-2.499802,-2.060736,-0.625606,0.382030,-0.591433,-0.486990,0.679290,0.068481,-0.027694,-0.097265,0.132351,0.023191,-0.058639
126,1.520000,11.001204,-7.813008,-5.596201,17.946781,-7.124605,6.574147,-11.798709,0.468021,0.459025,-22.847488,5.264579,0.921102,6.288339,-17.545124,19.789635,1.816336,-3.419714,-0.389020,3.479444,0.377784,-0.674126,-0.837651,1.259567,0.047312,0.084895,-0.228558,0.188932,0.140356,-0.173479
127,1.540000,14.638452,-9.961075,-2.268315,20.433718,-4.420402,9.829008,-15.592735,0.210715,0.400549,-19.450531,1.720510,3.875739,6.292132,-7.801438,13.367388,1.597039,-2.962135,1.876277,2.882124,0.345823,-0.450394,0.076912,1.378586,0.035749,0.117041,-0.093947,0.291403,0.172887,-0.168118
128,1.560000,11.656357,-9.352509,2.387036,19.803188,-3.880449,9.284741,-18.469753,0.729874,1.000177,-15.357552,-2.736628,4.197598,2.737834,-4.438099,2.914919,0.219751,-1.311484,2.988747,0.012995,0.039955,-0.196446,0.806776,0.674190,0.037202,0.204808,0.238132,0.296118,0.001471,0.074841
129,1.580000,10.481195,-9.257050,5.387012,21.250143,-2.077277,10.158195,-20.805901,0.688431,1.265803,-16.442144,-3.505993,4.589496,0.354029,-2.160843,-0.637650,-0.661000,0.489480,4.986455,-0.192201,-0.033797,0.257403,1.005437,-0.191153,-0.063738,0.066683,0.313945,0.095258,-0.089243,0.204597
